Time,LE
,
8/5/2018 9:30,18.0277515
,
8/5/2018 10:00,68.49596979
,
8/5/2018 10:30,89.05003071
,
8/5/2018 11:00,154.5641991
,
8/5/2018 11:30,118.6850899
,
8/5/2018 12:00,107.0718696
,
8/5/2018 12:30,189.5512486
,
8/5/2018 13:00,129.9851118
,
8/5/2018 13:30,
,
8/5/2018 14:00,139.6517454
,
8/5/2018 14:30,155.4161125
,
8/5/2018 15:00,124.5119356
,
8/5/2018 15:30,106.666146
,
8/5/2018 16:00,176.3211116
,
8/5/2018 16:30,203.3630579
,
8/5/2018 17:00,166.7149037
,
8/5/2018 17:30,124.2360275
,
8/5/2018 18:00,96.23245004
,
8/5/2018 18:30,133.1213652
,
8/5/2018 19:00,44.66026575
,
8/5/2018 19:30,11.61805179
,
8/5/2018 20:00,44.20149188
